hotel_name,location,star_rating,review_rating,number_of_reviews,price,city,country,channel_hotel_id,channel_name
SPOT ON 89962 Perfect Class Hotel,"Golden Triangle, Kuala Lumpur",2.0,3.7,3 reviews,49074,Kuala Lumpur,Malaysia,6271077,booking
OYO 89775 98inn,Miri,2.0,8.6,6 reviews,97362,Sarawak,Malaysia,6005618,booking
OYO 709 TGL Hotel,Kampong Telok Baharu,2.0,7.9,166 reviews,90504,Pahang,Malaysia,2189208,booking
OYO 1165 Kris Lodge,Bintulu,2.0,8.0,273 reviews,50900,Sarawak,Malaysia,1930830,booking
OYO 603 Sri Padang Inn,Kampung Padang,2.0,7.3,76 reviews,92585,Pahang,Malaysia,4431947,booking
OYO 89866 Houz Inn,Bintulu,2.0,7.5,7 reviews,57487,Sarawak,Malaysia,303069,booking
OYO 90015 Indah Chalet,Kuala Rompin,2.0,nan,nan,78548,Pahang,Malaysia,6292782,booking
OYO 889 Hotel Cherita Rooms,Kuantan,2.0,6.8,77 reviews,58547,Pahang,Malaysia,4816813,booking
OYO 1153 Heaven Hill Hotel 1,Cameron Highlands,2.0,6.3,76 reviews,95328,Pahang,Malaysia,5179056,booking
OYO Capital O 89695 Planters Hotel,Cameron Highlands,3.0,6.5,324 reviews,81701,Pahang,Malaysia,295992,booking
SPOT ON 89870 Rasa Sayang Hotel,Cameron Highlands,2.0,6.5,102 reviews,54615,Pahang,Malaysia,2855584,booking
OYO 44096 101 Resort & Spa,Kampung Janda Baik,2.0,7.6,239 reviews,194734,Pahang,Malaysia,2205860,booking
SPOT ON 89860 YB House,Kuantan,2.0,7.0,141 reviews,48675,Pahang,Malaysia,1141884,booking
OYO 984 Kings Hotel,Kuantan,2.0,7.2,140 reviews,77490,Pahang,Malaysia,401164,booking
OYO 1104 Q hotel,Temerloh,2.0,7.0,150 reviews,63460,Pahang,Malaysia,5281873,booking
OYO 43935 Mancalin Hotel,Kuantan,2.0,8.0,78 reviews,92411,Pahang,Malaysia,5316563,booking
OYO 443 Crystal City Hotel,Kuantan,2.0,7.8,251 reviews,76343,Pahang,Malaysia,1078685,booking
