hotel_name,location,star_rating,review_rating,number_of_reviews,price,city,country,channel_hotel_id,channel_name
OYO 328 Onion House,Kata Beach,2.0,7.4,58 reviews,75606,Phuket,Thailand,4309999,booking
OYO 744 @Home Kamala Hills,Kamala Beach,2.0,nan,nan,76683,Phuket,Thailand,6270690,booking
OYO 401 Pine House Hotel Rawai,Nai Harn Beach,3.0,8.5,22 reviews,68150,Phuket,Thailand,2868041,booking
OYO 329 B. Banana Resort,Thalang,2.0,6.5,7 reviews,105190,Phuket,Thailand,5197997,booking
OYO 279 Sweet Pound Hotel,Pattaya Central,3.0,7.5,80 reviews,74184,Pattaya,Thailand,5521030,booking
OYO 488 Delight Residence,Nong Prue,3.0,8.0,33 reviews,71023,Pattaya,Thailand,2656829,booking
Skipper's Guesthouse,Karon Beach,2.0,9.5,37 reviews,80480,Phuket,Thailand,1720407,booking
OYO 800 Orbit Key Hotel,Krabi town,2.0,nan,nan,71245,Krabi,Thailand,1343599,booking
OYO 596 Baan Kim lian,Ban Phlu Yai,nan,nan,nan,61229,Phuket,Thailand,6009877,booking
OYO 323 Game Boutique,Patong Beach,2.0,7.9,110 reviews,62370,Phuket,Thailand,3999978,booking
OYO 888 Apinya's Place Karon,Karon Beach,2.0,nan,nan,79844,Phuket,Thailand,6367559,booking
OYO 422 Jane Homestay and Resort,Rawai Beach,3.0,8.7,30 reviews,76210,Phuket,Thailand,4958173,booking
OYO 285 The Modern Place,"North Pattaya, Pattaya Central",2.0,8.2,102 reviews,72878,Pattaya,Thailand,5545495,booking
ZEN Rooms Rat-U-Thid 200 Phi Road,Patong Beach,1.0,7.8,3 reviews,88656,Phuket,Thailand,2020164,booking
OYO 126 Patong Station House,Patong Beach,2.0,6.6,47 reviews,73172,Phuket,Thailand,395884,booking
OYO 573 Proundpat Resort,Krabi town,3.0,nan,nan,73172,Krabi,Thailand,6088870,booking
